price_change, adress, living_area, district, final_price, land_area, date_sold
Plantskolevägen 3; 110 + 64 m²; Villa, Gamla Enskede; 322 m² tomt; 26 jun 2020; +20,5%; 12 650 000 kr
Skoghallsvägen 12; 121 + 27 m²; Villa, Enskede; 807 m² tomt; 30 jun 2020; —; 6 550 000 kr
Genvägen 3; 119 + 65 m²; Villa, Gamla Enskede; 340 m² tomt; 3 jul 2020; +0,0%; 9 500 000 kr
Skönsmovägen 10; 76 + 80 m²; Villa, Enskede; 782 m² tomt; 1 jul 2020; +40,9%; 6 340 000 kr
Rapphönsvägen 33; 90 + 90 m²; Villa, Tallkrogen; 468 m² tomt; 31 jan 2020; +6,7%; 6 405 000 kr
Odelbergsvägen 56; 8 rum, 212 + 115 m²; Villa, Enskede Gård; 679 m² tomt; 30 jul 2020; +11,4%; 12 250 000 kr
Rikstensvägen 1; 65 + 62 m²; Villa, Enskede; 497 m² tomt; 1 jul 2020; —; 5 830 000 kr
Herrhagsvägen 90; 69 + 57 m²; Villa, Enskede; 585 m² tomt; 5 jun 2020; —; 7 550 000 kr
Fållnäsgatan 89; 5 rum, 70 + 70 m²; Villa, Svedmyra; 615 m² tomt; 29 maj 2020; -3,5%; 6 750 000 kr
Muskögatan 11; 4 rum, 109 + 56 m²; Villa, Svedmyra; 660 m² tomt; 5 jun 2020; +5,6%; 8 550 000 kr
Kantarellvägen 22; 145 + 80 m²; Villa, Enskede; 496 m² tomt; 12 jun 2020; —; 10 900 000 kr
Tallkrogsvägen 43; 87 + 87 m²; Villa, Tallkrogen; 651 m² tomt; 17 jun 2020; -2,2%; 6 350 000 kr
Sandsborgsvägen 7; 101 + 51 m²; Villa, Gamla Enskede; 630 m² tomt; 2 jun 2020; -0,9%; 8 675 000 kr
Lingvägen 63; 105 + 50 m²; Villa, Enskede; 508 m² tomt; 1 jun 2020; —; 8 550 000 kr
Mellanvägen 14; 101 + 54 m²; Villa, Enskede; 413 m² tomt; 12 jun 2020; —; 9 500 000 kr
Hemmansvägen 18; 110 + 48 m²; Villa, Gamla Enskede; 542 m² tomt; 15 jun 2020; +9,1%; 8 675 000 kr
Herrgårdsvägen 29; 148 + 80 m²; Villa, Enskede gård; 633 m² tomt; 5 jun 2020; +35,1%; 14 175 000 kr
Handelsvägen 63; 3 rum, 65 + 65 m²; Villa, Gamla Enskede; 581 m² tomt; 29 jun 2020; +26,3%; 6 000 000 kr
Varpavägen 15; 5 rum, 69 + 70 m²; Villa, Enskede; 507 m² tomt; 18 jun 2020; +20,1%; 6 425 000 kr
Skoghallsvägen 10; 6 rum, 133 + 15 m²; Villa, Enskede; 661 m² tomt; 18 jun 2020; +24,8%; 11 225 000 kr
Kålgårdsvägen 7; 5 rum, 125 m²; Villa, Enskede; 43 200 kr/m²; 26 jun 2020; -6,1%; 5 400 000 kr
Livlandsgatan 143; 6 rum, 86 + 66 m²; Villa, Enskedefältet; 406 m² tomt; 26 jun 2020; +6,9%; 8 500 000 kr
Tallkrogsvägen 38; 5 rum, 65 + 65 m²; Villa, Tallkrogen; 530 m² tomt; 25 jun 2020; —; 6 350 000 kr
Graningegränd 13; 5 rum, 125 + 40 m²; Villa, Stureby; 1 069 m² tomt; 23 jun 2020; +3,4%; 9 000 000 kr
Krokvägen 137; 54 + 54 m²; Villa, Enskede; 514 m² tomt; 29 maj 2020; —; 6 500 000 kr
Krokvägen 137; 54 + 54 m²; Villa, Enskede; 514 m² tomt; 29 maj 2020; —; 6 500 000 kr
Herrhagsvägen 40; 61 + 39 m²; Villa, Enskede; 545 m² tomt; 1 jun 2020; —; 8 250 000 kr
Herrhagsvägen 36; 142 + 41 m²; Villa, Enskede; 537 m² tomt; 1 jun 2020; —; 9 250 000 kr
Lemmings väg 58; 67 + 83 m²; Villa, Enskede; 522 m² tomt; 1 jun 2020; +10,7%; 6 310 000 kr
Långåkersvägen 55; 119 + 104 m²; Villa, Enskede; 786 m² tomt; 22 maj 2020; —; 9 300 000 kr
Tryffelgränd 12; 120 + 60 m²; Villa, Enskede; 587 m² tomt; 26 maj 2020; —; 11 550 000 kr
Vivstavarvsvägen 211; 140 + 80 m²; Villa, Enskede; 1 088 m² tomt; 18 maj 2020; —; 10 000 000 kr
Ramviksvägen 202; 95 + 57 m²; Villa, Enskede; 816 m² tomt; 13 maj 2020; —; 10 700 000 kr
Träningsvägen 9; 70 + 65 m²; Villa, Tallkrogen; 533 m² tomt; 17 feb 2020; +13,1%; 5 650 000 kr
Medlemsvägen 57; 6 rum, 104 + 48 m²; Villa, Enskede Gård; 549 m² tomt; 13 jun 2020; +4,5%; 10 400 000 kr
